CIK,Filing Year,Filing Date,Reporting Date,RFDTitle
1750,2018,2018-07-11,2018-05-31,We are affected by factors that adversely impact the commercial aviation industry.
1750,2018,2018-07-11,2018-05-31,"Our U.S. government contracts may not continue at present sales levels, which may have a material adverse
effect on our financial condition and results of operations."
1750,2018,2018-07-11,2018-05-31,We face risks of cost overruns and losses on fixed-price contracts.
1750,2018,2018-07-11,2018-05-31,Success at our airframe maintenance facilities is dependent upon continued outsourcing by the airlines.
1750,2018,2018-07-11,2018-05-31,"We operate in highly competitive markets, and competitive pressures may adversely affect us."
1750,2018,2018-07-11,2018-05-31,"We are subject to significant government regulation and may need to incur significant expenses to comply with
new or more stringent governmental regulation."
1750,2018,2018-07-11,2018-05-31,"If we fail to comply with government procurement laws and regulations, we could lose business and be liable
for various penalties or sanctions."
1750,2018,2018-07-11,2018-05-31,We are exposed to risks associated with operating internationally.
1750,2018,2018-07-11,2018-05-31,"Acquisitions expose us to risks, including the risk that we may be unable to effectively integrate acquired
businesses."
1750,2018,2018-07-11,2018-05-31,"Market values for our aviation products fluctuate and we may be unable to recover our costs incurred on
engines, rotable components and other aircraft parts."
1750,2018,2018-07-11,2018-05-31,We may need to reduce the carrying value of our assets.
1750,2018,2018-07-11,2018-05-31,"We are dependent upon continued availability of financing to manage our business and to execute our business
strategy, and additional financing may not be available on terms acceptable to us."
1750,2018,2018-07-11,2018-05-31,Our existing debt includes restrictive and financial covenants.
1750,2018,2018-07-11,2018-05-31,"Our industry is susceptible to product and other liability claims, and claims not adequately covered by
insurance may adversely affect our financial condition."
1750,2018,2018-07-11,2018-05-31,Our business could be negatively affected by cyber or other security threats or other disruptions.
1750,2018,2018-07-11,2018-05-31,"We must comply with extensive environmental requirements, and any exposure to environmental liabilities may
adversely affect us."
1750,2018,2018-07-11,2018-05-31,"We may need to make significant capital expenditures to keep pace with technological developments in our
industry."
1750,2018,2018-07-11,2018-05-31,Our operations would be adversely affected by a shortage of skilled personnel or work stoppages.
1750,2017,2017-07-12,2017-05-31,We are affected by factors that adversely impact the commercial aviation industry.
1750,2017,2017-07-12,2017-05-31,"Our U.S. government contracts may not continue at present sales levels, which may have a material adverse
effect on our financial condition and results of operations."
1750,2017,2017-07-12,2017-05-31,We face risks of cost overruns and losses on fixed-price contracts.
1750,2017,2017-07-12,2017-05-31,Success at our airframe maintenance facilities is dependent upon continued outsourcing by the airlines.
1750,2017,2017-07-12,2017-05-31,"We operate in highly competitive markets, and competitive pressures may adversely affect us."
1750,2017,2017-07-12,2017-05-31,"We are subject to significant government regulation and may need to incur significant expenses to comply with
new or more stringent governmental regulation."
1750,2017,2017-07-12,2017-05-31,"If we fail to comply with government procurement laws and regulations, we could lose business and be liable
for various penalties or sanctions."
1750,2017,2017-07-12,2017-05-31,"A significant portion of our expeditionary airlift revenue is derived from providing expeditionary airlift
services in Afghanistan."
1750,2017,2017-07-12,2017-05-31,We are exposed to risks associated with operating internationally.
1750,2017,2017-07-12,2017-05-31,"Acquisitions expose us to risks, including the risk that we may be unable to effectively integrate acquired
businesses."
1750,2017,2017-07-12,2017-05-31,"Market values for our aviation products fluctuate, and we may be unable to re-lease or sell aircraft and
engines when their current leases expire."
